	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
52 - Magazzinaggio e attivita' di supporto ai trasporti;          35.261;           7.597;          43.142;          86.000;
53 - Servizi postali e attivita' di corriere;              10;               2;               1;              13;
55 - Alloggio;             219;             141;             104;             464;
56 - Attivita' dei servizi di ristorazione;             162;              94;              53;             309;
58 - Attivita' editoriali;             140;              74;              61;             275;
59 - Attivita' di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;              25;              11;               8;              44;
60 - Attivita' di programmazione e trasmissione;              75;               6;               7;              88;
61 - Telecomunicazioni;           1.006;             273;             437;           1.716;
62 - Produzione di software, consulenza informatica e attivita' connesse;             191;              68;              19;             278;
63 - Attivita' dei servizi d'informazione e altri servizi informatici;             193;              15;               6;             214;
64 - Attivita' di servizi finanziari (escluse le assicurazioni e i fondi pensione);              76;             152;              26;             254;
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);               7;               1;-;               8;
66 - Attivita' ausiliarie dei servizi finanziari e delle attivita' assicurative;               7;               6;               6;              19;
68 - Attivita' immobiliari;             652;             538;             212;           1.402;
69 - Attivita' legali e contabilita';              93;             143;              26;             262;
70 - Attivita' di direzione aziendale e di consulenza gestionale;             826;              56;             208;           1.090;
71 - Attivita' degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;           6.176;             842;           2.026;           9.044;
72 - Ricerca scientifica e sviluppo;           5.381;             916;             460;           6.757;
73 - Pubblicita' e ricerche di mercato;              58;              20;               7;              85;
74 - Altre attivita' professionali, scientifiche e tecniche;           1.967;             298;           1.020;           3.285;
75 - Servizi veterinari;             529;             218;             303;           1.050;
77 - Attivita' di noleggio e leasing operativo;           2.411;             575;             415;           3.401;
78 - Attivita' di ricerca, selezione, fornitura di personale;               2;-;               8;              10;
79 - Attivita' dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attivita' connesse;              22;               1;               8;              31;
80 - Servizi di vigilanza e investigazione;              32;               9;               9;              50;
81 - Attivita' di servizi per edifici e paesaggio;           8.043;           7.588;           9.017;          24.648;
82 - Attivita' di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;          11.547;             588;           3.412;          15.547;
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;          11.808;           3.684;           7.019;          22.511;
85 - Istruzione;           1.076;             462;             496;           2.034;
86, 87, 88 - Sanita' e assistenza sociale;          76.776;          32.857;          44.643;         154.276;
90 - Attivita' creative, artistiche e di intrattenimento;              42;              15;             171;             228;
91 - Attivita' di biblioteche, archivi, musei ed altre attivita' culturali;              66;               9;-;              75;
92 - Attivita' riguardanti le lotterie, le scommesse, le case da gioco;             355;             168;              27;             550;
93 - Attivita' sportive, di intrattenimento e di divertimento;             431;              81;              19;             531;
94 - Attivita' di organizzazioni associative;             225;              43;              53;             321;
95 - Riparazione di computer e di beni per uso personale e per la casa;             282;              67;              40;             389;
96 - Altre attivita' di servizi per la persona;           7.432;             418;             583;           8.433;
97 - Attivita' di famiglie e convivenze come datori di lavoro per personale domestico;-;-;-;               0;
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;               2;-;-;               2;
99 - Organizzazioni ed organismi extraterritoriali;               2;              32;              21;              55;
ND - Attivita' ISTAT non determinata;             511;              25;             106;             642;
Totale;       6.970.103;       1.287.263;       1.897.281;      10.154.647

	Produzione dei rifiuti speciali pericolosi e non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2019 (ISPRA);
		Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t)
				ND - Attivita' ISTAT non determinata;           4.447;             145;           1.146;           5.738;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;         840.795;         706.144;         101.398;       1.648.337;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;       1.815.102;         427.997;         872.332;       3.115.431;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;       1.400.166;         551.018;         165.446;       2.116.630;
